Fp1   :,82.7,32.28
Fpz   :,90,-0.1
Fp2   :,82.7,-32.38
F7    :,53.6,91.92
F3    :,39.1,48
Fz    :,35.5,-0.1
F4    :,39.8,-49.2
F8    :,53.8,-91.56
FC5   :,16.1,84.6
FC1   :,9.9,27.6
FC2   :,10.5,-28.32
FC6   :,16.8,-85.08
M1    :,-50.6,147.36
T7    :,-13.2,118.8
C3    :,-16.2,57.48
Cz    :,-16.8,-0.1
C4    :,-15.5,-58.68
T8    :,-11.9,-118.56
M2    :,-51.2,-147.48
CP5   :,-43,80.76
CP1   :,-39.3,26.4
CP2   :,-38.9,-27.84
CP6   :,-41.4,-81.48
P7    :,-76.9,87.48
P3    :,-66.4,44.76
Pz    :,-63.8,-0.12
P4    :,-66.4,-45.72
P8    :,-76.7,-87.36
POz   :,-79.7,-0.1
O1    :,-104.6,30.6
Oz    :,-106,-0.1
O2    :,-104.6,-30.48
AF7   :,73,63.6
AF3   :,63.7,33.12
AF4   :,63.3,-34.32
AF8   :,73.1,-63.12
F5    :,45.2,70.56
F1    :,36,23.88
F2    :,36.4,-25.44
F6    :,45.5,-71.28
FC3   :,12.2,56.16
FCz   :,9.4,-0.1
FC4   :,13,-57
C5    :,-15.1,87.48
C1    :,-16.5,28.44
C2    :,-16.3,-29.64
C6    :,-14.1,-87.6
CP3   :,-40.9,53.16
CPz   :,-39.3,-0.12
CP4   :,-40.2,-54.24
P5    :,-70,66.48
P1    :,-65.5,22.08
P2    :,-65.1,-23.28
P6    :,-70.5,-67.08
PO5   :,-94.1,47.64
PO3   :,-87.3,31.2
PO4   :,-88,-31.3
PO6   :,-94.8,-46.56
FT7   :,23.5,112.8
FT8   :,24.6,-112.08
TP7   :,-45.8,109.08
TP8   :,-45.5,-108.84
PO7   :,-88.8,60.36
PO8   :,-88.6,-60.48
FT9   :,36.4,137.4
FT10  :,36.6,-137.52
TPP9h :,-67.9,112.2
TPP10h:,-67.9,-112.3
PO9   :,-104,75.48
PO10  :,-103.8,-75.24
P9    :,-87.1,110.28
P10   :,-87.4,-109.32
AFF1  :,48.3,21.24
AFz   :,60.6,-0.1
AFF2  :,48.9,-21.84
FFC5h :,28.3,65.76
FFC3h :,24.9,39
FFC4h :,25.4,-40.68
FFC6h :,28.9,-67.08
FCC5h :,-1.2,72.6
FCC3h :,-3.1,43.08
FCC4h :,-2.6,-44.04
FCC6h :,-0.3,-73.44
CCP5h :,-29.1,70.44
CCP3h :,-28.7,41.4
CCP4h :,-28.1,-42.72
CCP6h :,-27.9,-71.4
CPP5h :,-53.4,61.68
CPP3h :,-51.4,36.36
CPP4h :,-50.8,-37.56
CPP6h :,-52.3,-62.88
PPO1  :,-75.8,19.92
PPO2  :,-75.4,-21.12
I1    :,-123.3,38.28
Iz    :,-129.9,-0.1
I2    :,-123.5,-37.8
AFp3h :,73.1,18.72
AFp4h :,72.8,-19.32
AFF5h :,54.2,50.88
AFF6h :,54.7,-51.48
FFT7h :,34.9,91.56
FFC1h :,22.5,12.36
FFC2h :,22.8,-14.28
FFT8h :,35.5,-91.56
FTT9h :,11.2,132.6
FTT7h :,2.6,102.48
FCC1h :,-3.9,14.28
FCC2h :,-3.8,-15
FTT8h :,3.6,-102.48
FTT10h:,11,-132.6
TTP7h :,-28.5,105.08
CCP1h :,-28.5,13.44
CCP2h :,-28.4,-14.76
TTP8h :,-28.5,-105.18
TPP7h :,-57.6,86.4
CPP1h :,-50,11.64
CPP2h :,-49.7,-13.44
TPP8h :,-57.6,-86.88
PPO9h :,-94.3,83.76
PPO5h :,-78.7,49.68
PPO6h :,-78.7,-49.8
PPO10h:,-94.5,-83.04
POO9h :,-109.5,51.48
POO3h :,-97.5,17.88
POO4h :,-97.1,-18.36
POO10h:,-109.6,-50.88
OI1h  :,-115.6,17.28
OI2h  :,-115.6,-16.92
